"CL",,"TOTAL (a)","URBAN (NET) (b)","RURAL (NET) (c)","NCR (NET) (d)","NCL (NET) (e)","NCL Urban (f)","NCL Rural (g)","SL (NET) (h)","SL Urban (i)","SL Rural (j)","Visayas (NET) (k)","Visayas Urban (l)","Visayas Rural (m)","Mindanao (NET) (n)","Mindanao Urban (o)","Mindanao Rural (p)"
"RT","Total",682,380,302,83,152,67,85,137,77,60,157,76,81,153,77,76
"PV",,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%
"BL"
"RW","FROM BANKS (NET)",11,5,6,1,3,1,2,5,2,3,1,0,1,1,1,0
"PV",,1.6129%,1.3158%,1.9868%,1.2048%,1.9737%,1.4925%,2.3529%,3.6496%,2.5974%,5.0000%,0.6369%,0.0000%,1.2346%,0.6536%,1.2987%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," BKLNP"," "," "," "," "," "," "
"BL"
"RW","     Housing Loan / Mortgage with bank",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PV",,0.1466%,0.2632%,0.0000%,1.2048%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Business Loan with bank",2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0
"PV",,0.2933%,0.0000%,0.6623%,0.0000%,0.0000%,0.0000%,0.0000%,1.4599%,0.0000%,3.3333%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," B"," "," AABAAEAAKAN"," "," "," "," "," "," "
"BL"
"RW","     MicroBusiness/SME Loan with bank",6,2,4,0,1,0,1,4,2,2,1,0,1,0,0,0
"PV",,0.8798%,0.5263%,1.3245%,0.0000%,0.6579%,0.0000%,1.1765%,2.9197%,2.5974%,3.3333%,0.6369%,0.0000%,1.2346%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," AABAAAAAN"," N"," BN"," "," "," "," "," "," "
"BL"
"RW","     Salary Loan with bank",2,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0
"PV",,0.2933%,0.5263%,0.0000%,0.0000%,0.6579%,1.4925%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.6536%,1.2987%,0.0000%
"MK",," "," "," "," "," "," C"," "," "," "," "," "," "," "," "," C"," "
"BL"
"RW","     Credit card",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"PV",,0.1466%,0.0000%,0.3311%,0.0000%,0.6579%,0.0000%,1.1765%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," B"," "," "," "," "," "," "," "," "," "
"BL"
"RW","FROM NON-BANK SOURCES (NET)",111,79,32,16,22,13,9,19,12,7,35,26,9,19,12,7
"PV",,16.2757%,20.7895%,10.5960%,19.2771%,14.4737%,19.4030%,10.5882%,13.8686%,15.5844%,11.6667%,22.2930%,34.2105%,11.1111%,12.4183%,15.5844%,9.2105%
"MK",," C"," CGMNP"," "," C"," "," C"," "," "," "," "," CGMNP"," AABCADAEFGAHIJAMANOP"," "," "," "," "
"BL"
"RW","     Loan with Cooperative",16,10,6,2,5,3,2,2,0,2,4,3,1,3,2,1
"PV",,2.3460%,2.6316%,1.9868%,2.4096%,3.2895%,4.4776%,2.3529%,1.4599%,0.0000%,3.3333%,2.5478%,3.9474%,1.2346%,1.9608%,2.5974%,1.3158%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Loan with Microfinance NGO",17,12,5,0,3,1,2,4,1,3,7,7,0,3,3,0
"PV",,2.4927%,3.1579%,1.6556%,0.0000%,1.9737%,1.4925%,2.3529%,2.9197%,1.2987%,5.0000%,4.4586%,9.2105%,0.0000%,1.9608%,3.8961%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," DMP"," "," AABCADAEFAHIAMANP"," "," "," "," "
"BL"
"RW","     Loan with Gov't agencies (i.e. GSIS, SSS, Pag-ibig)",8,7,1,1,2,1,1,3,3,0,1,1,0,1,1,0
"PV",,1.1730%,1.8421%,0.3311%,1.2048%,1.3158%,1.4925%,1.1765%,2.1898%,3.8961%,0.0000%,0.6369%,1.3158%,0.0000%,0.6536%,1.2987%,0.0000%
"MK",," "," "," "," "," "," "," "," "," C"," "," "," "," "," "," "," "
"BL"
"RW","     Loan from pawnshop/ pawning",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"PV",,0.1466%,0.2632%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.6536%,1.2987%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," C"," "
"BL"
"RW","     Loan with lending institutions/Financing companies (e.g. Home Credit, etc) (SUBNET)",20,15,5,5,3,1,2,4,3,1,4,3,1,4,3,1
"PV",,2.9326%,3.9474%,1.6556%,6.0241%,1.9737%,1.4925%,2.3529%,2.9197%,3.8961%,1.6667%,2.5478%,3.9474%,1.2346%,2.6144%,3.8961%,1.3158%
"MK",," "," "," "," C"," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","          Loan via Home Credit",12,8,4,0,3,1,2,1,1,0,4,3,1,4,3,1
"PV",,1.7595%,2.1053%,1.3245%,0.0000%,1.9737%,1.4925%,2.3529%,0.7299%,1.2987%,0.0000%,2.5478%,3.9474%,1.2346%,2.6144%,3.8961%,1.3158%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","          Online Loans",5,5,0,3,0,0,0,2,2,0,0,0,0,0,0,0
"PV",,0.7331%,1.3158%,0.0000%,3.6145%,0.0000%,0.0000%,0.0000%,1.4599%,2.5974%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," C"," "," AACAAEAAKAN"," "," "," "," C"," CEKN"," "," "," "," "," "," "," "
"BL"
"RW","          Loans from e-wallet/mobile money/mobile bank/ e-remittance / any financial apps or websites",3,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0
"PV",,0.4399%,0.5263%,0.3311%,2.4096%,0.0000%,0.0000%,0.0000%,0.7299%,0.0000%,1.6667%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," AAAAAAA"," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Multi-Purpose Loans from private companies (SUBNET)",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PV",,0.1466%,0.2632%,0.0000%,1.2048%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","          Housing Loan via Real Estate Developer In-house financing (not via bank)",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PV",,0.1466%,0.2632%,0.0000%,1.2048%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     INFORMAL LOANS (SUBNET)",59,44,15,9,11,9,2,6,5,1,24,17,7,9,4,5
"PV",,8.6510%,11.5789%,4.9669%,10.8434%,7.2368%,13.4328%,2.3529%,4.3796%,6.4935%,1.6667%,15.2866%,22.3684%,8.6420%,5.8824%,5.1948%,6.5789%
"MK",," CG"," CGHJN"," "," CGJ"," "," CGHJ"," "," "," "," "," AACAAEGAHJAANO"," AABCADAEGAHIJAMANOP"," "," "," "," "
"BL"
"RW","          5-6 lending /Bombay/Turko",20,15,5,6,5,3,2,4,3,1,1,1,0,4,2,2
"PV",,2.9326%,3.9474%,1.6556%,7.2289%,3.2895%,4.4776%,2.3529%,2.9197%,3.8961%,1.6667%,0.6369%,1.3158%,0.0000%,2.6144%,2.5974%,2.6316%
"MK",," "," K"," "," AACAAAAKMA"," "," K"," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","          Loan from relatives/family/friend/neighbor",33,26,7,3,7,7,0,1,1,0,18,13,5,4,2,2
"PV",,4.8387%,6.8421%,2.3179%,3.6145%,4.6053%,10.4478%,0.0000%,0.7299%,1.2987%,0.0000%,11.4650%,17.1053%,6.1728%,2.6144%,2.5974%,2.6316%
"MK",," GH"," CGHJ"," "," "," GH"," CGHIJN"," "," "," "," "," AACADAEGAHIJAANOP"," AABCADAEGAHIJAMANOP"," GH"," "," "," "
"BL"
"RW","          Loan from Sari-sari-store",17,13,4,0,3,3,0,1,1,0,11,9,2,2,0,2
"PV",,2.4927%,3.4211%,1.3245%,0.0000%,1.9737%,4.4776%,0.0000%,0.7299%,1.2987%,0.0000%,7.0064%,11.8421%,2.4691%,1.3072%,0.0000%,2.6316%
"MK",," "," "," "," "," "," G"," "," "," "," "," AACADAEGAHJAANO"," AABCADAEGAHIJAMANOP"," "," "," "," "
"BL"
"RW","Other and NONE (NET)",564,298,266,67,128,53,75,114,63,51,121,50,71,134,65,69
"PV",,82.6979%,78.4211%,88.0795%,80.7229%,84.2105%,79.1045%,88.2353%,83.2117%,81.8182%,85.0000%,77.0701%,65.7895%,87.6543%,87.5817%,84.4156%,90.7895%
"MK",," L"," L"," AABAAAAKLA"," L"," L"," "," BKL"," L"," L"," L"," "," "," L"," BKL"," L"," BFKL"
"BL"
"RW","     Others",16,6,10,1,2,0,2,8,2,6,4,3,1,1,0,1
"PV",,2.3460%,1.5789%,3.3113%,1.2048%,1.3158%,0.0000%,2.3529%,5.8394%,2.5974%,10.0000%,2.5478%,3.9474%,1.2346%,0.6536%,0.0000%,1.3158%
"MK",," "," "," "," "," "," "," "," AABAAEFAAANO"," "," AABCADAEFGAAKMANOP"," "," "," "," "," "," "
"BL"
"RW","     NONE",548,292,256,66,126,53,73,106,61,45,117,47,70,133,65,68
"PV",,80.3519%,76.8421%,84.7682%,79.5181%,82.8947%,79.1045%,85.8824%,77.3723%,79.2208%,75.0000%,74.5223%,61.8421%,86.4198%,86.9281%,84.4156%,89.4737%
"MK",," L"," L"," BKL"," L"," L"," L"," KL"," L"," L"," "," L"," "," KL"," BHJKL"," L"," BHJKL"
"BL"
"RW","Total count",709,403,306,86,159,73,86,139,77,62,168,87,81,157,80,77
"PV",,103.9589%,106.0526%,101.3245%,103.6145%,104.6053%,108.9552%,101.1765%,101.4599%,100.0000%,103.3333%,107.0064%,114.4737%,100.0000%,102.6144%,103.8961%,101.3158%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"TE"
"TB","7"
"VT","QL2. USAGE OF LOAN PRODUCTS AND SERVICES"
"HT","HEADER C. USERSHIP"
"BT","ALL RESPONDENTS"
"CH",,,"USERSHIP",,"WHETHER GCASH USERS",
"CL",,"TOTAL (a)","NON-USERS (b)","USERS (c)","GCASH NON-USERS (d)","GCASH USERS (e)"
"RT","Total",682,249,315,385,297
"PV",,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%
"BL"
"RW","FROM BANKS (NET)",11,3,6,5,6
"PV",,1.6129%,1.2048%,1.9048%,1.2987%,2.0202%
"MK",," "," "," "," "," "
"BL"
"RW","     Housing Loan / Mortgage with bank",1,0,1,0,1
"PV",,0.1466%,0.0000%,0.3175%,0.0000%,0.3367%
"MK",," "," "," "," "," "
"BL"
"RW","     Business Loan with bank",2,0,2,0,2
"PV",,0.2933%,0.0000%,0.6349%,0.0000%,0.6734%
"MK",," "," "," "," "," "
"BL"
"RW","     MicroBusiness/SME Loan with bank",6,2,2,4,2
"PV",,0.8798%,0.8032%,0.6349%,1.0390%,0.6734%
"MK",," "," "," "," "," "
"BL"
"RW","     Salary Loan with bank",2,1,1,1,1
"PV",,0.2933%,0.4016%,0.3175%,0.2597%,0.3367%
"MK",," "," "," "," "," "
"BL"
"RW","     Credit card",1,0,1,0,1
"PV",,0.1466%,0.0000%,0.3175%,0.0000%,0.3367%
"MK",," "," "," "," "," "
"BL"
"RW","FROM NON-BANK SOURCES (NET)",111,27,59,56,55
"PV",,16.2757%,10.8434%,18.7302%,14.5455%,18.5185%
"MK",," B"," "," B"," "," B"
"BL"
"RW","     Loan with Cooperative",16,5,8,9,7
"PV",,2.3460%,2.0080%,2.5397%,2.3377%,2.3569%
"MK",," "," "," "," "," "
"BL"
"RW","     Loan with Microfinance NGO",17,7,7,12,5
"PV",,2.4927%,2.8112%,2.2222%,3.1169%,1.6835%
"MK",," "," "," "," "," "
"BL"
"RW","     Loan with Gov't agencies (i.e. GSIS, SSS, Pag-ibig)",8,0,6,3,5
"PV",,1.1730%,0.0000%,1.9048%,0.7792%,1.6835%
"MK",," "," "," B"," "," B"
"BL"
"RW","     Loan from pawnshop/ pawning",1,0,1,0,1
"PV",,0.1466%,0.0000%,0.3175%,0.0000%,0.3367%
"MK",," "," "," "," "," "
"BL"
"RW","     Loan with lending institutions/Financing companies (e.g. Home Credit, etc) (SUBNET)",20,4,15,5,15
"PV",,2.9326%,1.6064%,4.7619%,1.2987%,5.0505%
"MK",," "," "," BD"," "," BD"
"BL"
"RW","          Loan via Home Credit",12,3,9,3,9
"PV",,1.7595%,1.2048%,2.8571%,0.7792%,3.0303%
"MK",," "," "," D"," "," D"
"BL"
"RW","          Online Loans",5,1,3,2,3
"PV",,0.7331%,0.4016%,0.9524%,0.5195%,1.0101%
"MK",," "," "," "," "," "
"BL"
"RW","          Loans from e-wallet/mobile money/mobile bank/ e-remittance / any financial apps or websites",3,0,3,0,3
"PV",,0.4399%,0.0000%,0.9524%,0.0000%,1.0101%
"MK",," "," "," "," "," D"
"BL"
"RW","     Multi-Purpose Loans from private companies (SUBNET)",1,0,1,0,1
"PV",,0.1466%,0.0000%,0.3175%,0.0000%,0.3367%
"MK",," "," "," "," "," "
"BL"
"RW","          Housing Loan via Real Estate Developer In-house financing (not via bank)",1,0,1,0,1
"PV",,0.1466%,0.0000%,0.3175%,0.0000%,0.3367%
"MK",," "," "," "," "," "
"BL"
"RW","     INFORMAL LOANS (SUBNET)",59,14,27,33,26
"PV",,8.6510%,5.6225%,8.5714%,8.5714%,8.7542%
"MK",," "," "," "," "," "
"BL"
"RW","          5-6 lending /Bombay/Turko",20,4,14,7,13
"PV",,2.9326%,1.6064%,4.4444%,1.8182%,4.3771%
"MK",," "," "," D"," "," D"
"BL"
"RW","          Loan from relatives/family/friend/neighbor",33,9,13,21,12
"PV",,4.8387%,3.6145%,4.1270%,5.4545%,4.0404%
"MK",," "," "," "," "," "
"BL"
"RW","          Loan from Sari-sari-store",17,3,6,12,5
"PV",,2.4927%,1.2048%,1.9048%,3.1169%,1.6835%
"MK",," "," "," "," "," "
"BL"
"RW","Other and NONE (NET)",564,219,254,324,240
"PV",,82.6979%,87.9518%,80.6349%,84.1558%,80.8081%
"MK",," "," CE"," "," "," "
"BL"
"RW","     Others",16,9,6,11,5
"PV",,2.3460%,3.6145%,1.9048%,2.8571%,1.6835%
"MK",," "," "," "," "," "
"BL"
"RW","     NONE",548,210,248,313,235
"PV",,80.3519%,84.3373%,78.7302%,81.2987%,79.1246%
"MK",," "," "," "," "," "
"BL"
"RW","Total count",709,254,332,398,311
"PV",,103.9589%,102.0080%,105.3968%,103.3766%,104.7138%
"MK",," "," "," "," "," "
"TE"
"TB","8"
"VT","QL2. USAGE OF LOAN PRODUCTS AND SERVICES"
"HT","HEADER D. MACROREGION X SEC"
"BT","ALL RESPONDENTS"
"CH",,,"MMA",,,"NCL",,,"SL",,,"VISAYAS",,,"MINDANAO",,
"CL",,"TOTAL (a)","ABC1 (b)","C2 (c)","D (d)","ABC1 (b)","C2 (c)","D (d)","ABC1 (b)","C2 (c)","D (d)","ABC1 (b)","C2 (c)","D (d)","ABC1 (b)","C2 (c)","D (d)"
"RT","Total",682,12,35,33,12,44,96,15,46,75,18,52,87,10,56,87
"PV",,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%
"BL"
"RW","FROM BANKS (NET)",11,1,0,0,1,2,0,1,2,2,0,0,1,1,0,0
"PV",,1.6129%,8.3333%,0.0000%,0.0000%,8.3333%,4.5455%,0.0000%,6.6667%,4.3478%,2.6667%,0.0000%,0.0000%,1.1494%,10.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," DD"," "," "," D"," "," "," "," "," "," "," "
"BL"
"RW","     Housing Loan / Mortgage with bank",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PV",,0.1466%,8.3333%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Business Loan with bank",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"PV",,0.2933%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,4.3478%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," AAADAAA"," "," "," "," "," "," "," "
"BL"
"RW","     MicroBusiness/SME Loan with bank",6,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0
"PV",,0.8798%,0.0000%,0.0000%,0.0000%,0.0000%,2.2727%,0.0000%,6.6667%,2.1739%,2.6667%,0.0000%,0.0000%,1.1494%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Salary Loan with bank",2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"PV",,0.2933%,0.0000%,0.0000%,0.0000%,8.3333%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,10.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Credit card",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PV",,0.1466%,0.0000%,0.0000%,0.0000%,0.0000%,2.2727%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," AAAAAA"," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","FROM NON-BANK SOURCES (NET)",111,2,7,7,2,7,13,2,5,12,4,12,19,1,9,9
"PV",,16.2757%,16.6667%,20.0000%,21.2121%,16.6667%,15.9091%,13.5417%,13.3333%,10.8696%,16.0000%,22.2222%,23.0769%,21.8391%,10.0000%,16.0714%,10.3448%
"MK",," "," "," "," "," "," "," "," "," "," "," "," D"," D"," "," "," "
"BL"
"RW","     Loan with Cooperative",16,0,2,0,1,2,2,0,1,1,3,1,0,0,1,2
"PV",,2.3460%,0.0000%,5.7143%,0.0000%,8.3333%,4.5455%,2.0833%,0.0000%,2.1739%,1.3333%,16.6667%,1.9231%,0.0000%,0.0000%,1.7857%,2.2989%
"MK",," "," "," D"," "," "," D"," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Loan with Microfinance NGO",17,0,0,0,0,2,1,0,1,3,0,3,4,0,2,1
"PV",,2.4927%,0.0000%,0.0000%,0.0000%,0.0000%,4.5455%,1.0417%,0.0000%,2.1739%,4.0000%,0.0000%,5.7692%,4.5977%,0.0000%,3.5714%,1.1494%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Loan with Gov't agencies (i.e. GSIS, SSS, Pag-ibig)",8,0,0,1,1,0,1,1,2,0,1,0,0,0,1,0
"PV",,1.1730%,0.0000%,0.0000%,3.0303%,8.3333%,0.0000%,1.0417%,6.6667%,4.3478%,0.0000%,5.5556%,0.0000%,0.0000%,0.0000%,1.7857%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Loan from pawnshop/ pawning",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PV",,0.1466%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,10.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Loan with lending institutions/Financing companies (e.g. Home Credit, etc) (SUBNET)",20,1,2,2,0,3,0,1,1,2,0,2,2,0,3,1
"PV",,2.9326%,8.3333%,5.7143%,6.0606%,0.0000%,6.8182%,0.0000%,6.6667%,2.1739%,2.6667%,0.0000%,3.8462%,2.2989%,0.0000%,5.3571%,1.1494%
"MK",," "," "," D"," D"," "," D"," "," "," "," "," "," "," "," "," D"," "
"BL"
"RW","          Loan via Home Credit",12,0,0,0,0,3,0,0,0,1,0,2,2,0,3,1
"PV",,1.7595%,0.0000%,0.0000%,0.0000%,0.0000%,6.8182%,0.0000%,0.0000%,0.0000%,1.3333%,0.0000%,3.8462%,2.2989%,0.0000%,5.3571%,1.1494%
"MK",," "," "," "," "," "," AAADAAA"," "," "," "," "," "," "," "," "," D"," "
"BL"
"RW","          Online Loans",5,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0
"PV",,0.7331%,0.0000%,2.8571%,6.0606%,0.0000%,0.0000%,0.0000%,0.0000%,2.1739%,1.3333%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," AAADAADAD"," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","          Loans from e-wallet/mobile money/mobile bank/ e-remittance / any financial apps or websites",3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"PV",,0.4399%,8.3333%,2.8571%,0.0000%,0.0000%,0.0000%,0.0000%,6.6667%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Multi-Purpose Loans from private companies (SUBNET)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PV",,0.1466%,0.0000%,2.8571%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," AAAAAA"," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","          Housing Loan via Real Estate Developer In-house financing (not via bank)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PV",,0.1466%,0.0000%,2.8571%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
"MK",," "," "," AAAAAA"," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     INFORMAL LOANS (SUBNET)",59,1,4,4,0,2,9,0,0,6,0,8,16,0,3,6
"PV",,8.6510%,8.3333%,11.4286%,12.1212%,0.0000%,4.5455%,9.3750%,0.0000%,0.0000%,8.0000%,0.0000%,15.3846%,18.3908%,0.0000%,5.3571%,6.8966%
"MK",," C"," "," C"," C"," "," "," C"," "," "," C"," "," C"," AAACACAACD"," "," "," "
"BL"
"RW","          5-6 lending /Bombay/Turko",20,0,2,4,0,1,4,0,0,4,0,1,0,0,3,1
"PV",,2.9326%,0.0000%,5.7143%,12.1212%,0.0000%,2.2727%,4.1667%,0.0000%,0.0000%,5.3333%,0.0000%,1.9231%,0.0000%,0.0000%,5.3571%,1.1494%
"MK",," "," "," D"," AAAACADAD"," "," "," "," "," "," D"," "," "," "," "," D"," "
"BL"
"RW","          Loan from relatives/family/friend/neighbor",33,1,2,0,0,1,6,0,0,1,0,8,10,0,0,4
"PV",,4.8387%,8.3333%,5.7143%,0.0000%,0.0000%,2.2727%,6.2500%,0.0000%,0.0000%,1.3333%,0.0000%,15.3846%,11.4943%,0.0000%,0.0000%,4.5977%
"MK",," "," "," "," "," "," "," "," "," "," "," "," AADACACDAACD"," AADAACDAAC"," "," "," "
"BL"
"RW","          Loan from Sari-sari-store",17,0,0,0,0,0,3,0,0,1,0,3,8,0,0,2
"PV",,2.4927%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,3.1250%,0.0000%,0.0000%,1.3333%,0.0000%,5.7692%,9.1954%,0.0000%,0.0000%,2.2989%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," AAACACDAAC"," "," "," "
"BL"
"RW","Other and NONE (NET)",564,9,28,27,9,36,83,12,39,62,14,40,67,9,47,78
"PV",,82.6979%,75.0000%,80.0000%,81.8182%,75.0000%,81.8182%,86.4583%,80.0000%,84.7826%,82.6667%,77.7778%,76.9231%,77.0115%,90.0000%,83.9286%,89.6552%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," CD"
"BL"
"RW","     Others",16,0,0,1,0,0,2,1,0,7,0,1,3,0,0,1
"PV",,2.3460%,0.0000%,0.0000%,3.0303%,0.0000%,0.0000%,2.0833%,6.6667%,0.0000%,9.3333%,0.0000%,1.9231%,3.4483%,0.0000%,0.0000%,1.1494%
"MK",," "," "," "," "," "," "," "," "," "," AAACDACAACD"," "," "," "," "," "," "
"BL"
"RW","     NONE",548,9,28,26,9,36,81,11,39,55,14,39,64,9,47,77
"PV",,80.3519%,75.0000%,80.0000%,78.7879%,75.0000%,81.8182%,84.3750%,73.3333%,84.7826%,73.3333%,77.7778%,75.0000%,73.5632%,90.0000%,83.9286%,88.5057%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," DCD"
"BL"
"RW","Total count",709,12,37,34,12,47,100,15,47,76,18,58,92,11,57,89
"PV",,103.9589%,100.0000%,105.7143%,103.0303%,100.0000%,106.8182%,104.1667%,100.0000%,102.1739%,101.3333%,100.0000%,111.5385%,105.7471%,110.0000%,101.7857%,102.2989%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"TE"
"EN"
